Job Title,Industry,Key Skills
Full Stack Developer,IT,"React, Node.js, MongoDB, Python"
Mechanical Engineer,Manufacturing,"AutoCAD, SolidWorks, Maintenance"
Quality Control,Manufacturing,"ISO 9001, Six Sigma, Inspection"
Data Analyst,IT,"Python, SQL, Tableau, Excel"
Frontend Developer,It,"Css, Html, Javascript, React"
Backend Developer,It,"Apis, Django, Python, Sql"
Software Engineer,It,"Data Structures, Java, Oop, Python"
Cybersecurity Analyst,It,"Ethical Hacking, Firewalls, Network Security"
Network Engineer,It,"Cisco, Networking, Routing, Switching"
Digital Marketing Executive,It,"Analytics, Sem, Seo, Social Media"
Production Engineer,Manufacturing,"Lean Manufacturing, Production Planning"
Quality Control Engineer,Manufacturing,"Inspection, Iso 9001, Six Sigma"
Cnc Machine Operator,Manufacturing,"Cnc Programming, Machine Handling"
Maintenance Engineer,Manufacturing,"Equipment Maintenance, Troubleshooting"
Welding Engineer,Manufacturing,"Fabrication, Welding Techniques"
Industrial Engineer,Manufacturing,"Operations, Process Optimization"
Plant Supervisor,Manufacturing,"Production Monitoring, Team Management"
Mining Engineer,Metals & Mining,"Mining Operations, Safety Regulations"
Geologist,Metals & Mining,"Geology, Mineral Exploration"
Mine Supervisor,Metals & Mining,"Safety Compliance, Site Management"
Drilling Engineer,Metals & Mining,"Drilling Operations, Equipment Handling"
Safety Officer,Metals & Mining,"Industrial Safety, Risk Assessment"
Heavy Equipment Operator,Metals & Mining,"Excavator, Loader Operations"
Coal Quality Analyst,Metals & Mining,"Lab Testing, Sampling"
Environmental Engineer,Metals & Mining,"Environmental Compliance, Pollution Control"
Electrical Engineer,Energy & Power,"Electrical Systems, Power Distribution"
Power Plant Operator,Energy & Power,"Thermal Power, Turbine Operation"
Solar Technician,Energy & Power,"Installation, Maintenance, Solar Panels"
Electrical Maintenance Engineer,Energy & Power,"Circuit Design, Maintenance"
Civil Engineer,Construction & Infrastructure,"Autocad, Site Management"
Site Engineer,Construction & Infrastructure,"Construction Planning, Execution"
Quantity Surveyor,Construction & Infrastructure,"Boq, Cost Estimation"
Safety Engineer,Construction & Infrastructure,"Risk Management, Safety Standards"
Doctor,Healthcare & Pharmaceuticals,"Diagnosis, Patient Care"
Nurse,Healthcare & Pharmaceuticals,"Medical Procedures, Patient Care"
Pharmacist,Healthcare & Pharmaceuticals,"Dispensing, Drug Knowledge"
Lab Technician,Healthcare & Pharmaceuticals,"Lab Testing, Sample Analysis"
Hospital Administrator,Healthcare & Pharmaceuticals,"Hospital Management, Operations"
Food Processing Technician,Agriculture & Food Processing,"Food Safety, Packaging"
Agriculture Officer,Agriculture & Food Processing,"Crop Management, Soil Analysis"
Dairy Technician,Agriculture & Food Processing,"Milk Processing, Quality Control"
Textile Designer,Textile & Handicrafts,"Design, Fabric Knowledge"
Handloom Worker,Textile & Handicrafts,"Dyeing, Weaving"
Craft Artisan,Textile & Handicrafts,"Bamboo Work, Handicrafts"
Automobile Engineer,Automobile & Engineering,"Automotive Design, Mechanics"
Service Engineer,Automobile & Engineering,"Maintenance, Troubleshooting"
Spare Parts Manager,Automobile & Engineering,Inventory Management
Sales Executive,Retail & Services,"Communication, Negotiation, Sales"
Customer Support Executive,Retail & Services,"Communication, Crm Tools"
Warehouse Executive,Retail & Services,"Inventory, Logistics"
Delivery Executive,Retail & Services,"Logistics, Route Planning"
Banking Associate,Banking & Finance,"Accounting, Customer Service"
