Job Title,Industry,Key Skills
Full Stack Developer,IT,"React, Node.js, MongoDB, Python"
Frontend Developer,IT,"HTML, CSS, JavaScript, React"
Backend Developer,IT,"Python, Django, APIs, SQL"
Data Analyst,IT,"Python, SQL, Excel, Tableau"
Software Engineer,IT,"Java, Python, OOP, Data Structures"
Cybersecurity Analyst,IT,"Network Security, Ethical Hacking, Firewalls"
Network Engineer,IT,"Networking, Routing, Switching, Cisco"
Digital Marketing Executive,IT,"SEO, SEM, Social Media, Analytics"

Mechanical Engineer,Manufacturing,"AutoCAD, SolidWorks, Maintenance"
Production Engineer,Manufacturing,"Production Planning, Lean Manufacturing"
Quality Control Engineer,Manufacturing,"ISO 9001, Six Sigma, Inspection"
CNC Machine Operator,Manufacturing,"CNC Programming, Machine Handling"
Maintenance Engineer,Manufacturing,"Equipment Maintenance, Troubleshooting"
Welding Engineer,Manufacturing,"Welding Techniques, Fabrication"
Industrial Engineer,Manufacturing,"Process Optimization, Operations"
Plant Supervisor,Manufacturing,"Team Management, Production Monitoring"

Mining Engineer,Metals & Mining,"Mining Operations, Safety Regulations"
Geologist,Metals & Mining,"Geology, Mineral Exploration"
Mine Supervisor,Metals & Mining,"Site Management, Safety Compliance"
Drilling Engineer,Metals & Mining,"Drilling Operations, Equipment Handling"
Safety Officer,Metals & Mining,"Industrial Safety, Risk Assessment"
Heavy Equipment Operator,Metals & Mining,"Excavator, Loader Operations"
Coal Quality Analyst,Metals & Mining,"Sampling, Lab Testing"
Environmental Engineer,Metals & Mining,"Environmental Compliance, Pollution Control"

Electrical Engineer,Energy & Power,"Electrical Systems, Power Distribution"
Power Plant Operator,Energy & Power,"Thermal Power, Turbine Operation"
Solar Technician,Energy & Power,"Solar Panels, Installation, Maintenance"
Electrical Maintenance Engineer,Energy & Power,"Circuit Design, Maintenance"

Civil Engineer,Construction & Infrastructure,"AutoCAD, Site Management"
Site Engineer,Construction & Infrastructure,"Construction Planning, Execution"
Quantity Surveyor,Construction & Infrastructure,"Cost Estimation, BOQ"
Safety Engineer,Construction & Infrastructure,"Safety Standards, Risk Management"

Doctor,Healthcare & Pharmaceuticals,"Diagnosis, Patient Care"
Nurse,Healthcare & Pharmaceuticals,"Patient Care, Medical Procedures"
Pharmacist,Healthcare & Pharmaceuticals,"Drug Knowledge, Dispensing"
Lab Technician,Healthcare & Pharmaceuticals,"Lab Testing, Sample Analysis"
Hospital Administrator,Healthcare & Pharmaceuticals,"Hospital Management, Operations"

Food Processing Technician,Agriculture & Food Processing,"Food Safety, Packaging"
Agriculture Officer,Agriculture & Food Processing,"Crop Management, Soil Analysis"
Dairy Technician,Agriculture & Food Processing,"Milk Processing, Quality Control"

Textile Designer,Textile & Handicrafts,"Design, Fabric Knowledge"
Handloom Worker,Textile & Handicrafts,"Weaving, Dyeing"
Craft Artisan,Textile & Handicrafts,"Handicrafts, Bamboo Work"

Automobile Engineer,Automobile & Engineering,"Automotive Design, Mechanics"
Service Engineer,Automobile & Engineering,"Troubleshooting, Maintenance"
Spare Parts Manager,Automobile & Engineering,"Inventory Management"

Sales Executive,Retail & Services,"Sales, Communication, Negotiation"
Customer Support Executive,Retail & Services,"Communication, CRM Tools"
Warehouse Executive,Retail & Services,"Inventory, Logistics"
Delivery Executive,Retail & Services,"Logistics, Route Planning"

Banking Associate,Banking & Finance,"Accounting, Customer Service"
Accountant,Banking & Finance,"Tally, GST, Financial Reporting"
Relationship Manager,Banking & Finance,"Client Handling, Sales"

Teacher,Education & Training,"Teaching, Subject Knowledge"
Trainer,Education & Training,"Skill Development, Communication"
Content Creator,Education & Training,"Content Writing, Research"

Full Stack Developer,IT,"React, Node.js, MongoDB, Python, REST API, Git, JavaScript, HTML, CSS"
Mechanical Engineer,Manufacturing,"AutoCAD, SolidWorks, CATIA, Maintenance, Hydraulics, Thermal Engineering"
Quality Control Inspector,Manufacturing,"ISO 9001, Six Sigma, Inspection, Micrometer, Vernier Caliper, SPC, Sampling"
Data Analyst,IT,"Python, SQL, Tableau, Excel, Power BI, Data Visualization, Statistics"
Mining Engineer,Mining,"Blasting, Drilling, DGMS, Mine Planning, Ventilation, Safety, AutoCAD"
Civil Engineer,Construction,"AutoCAD, Structural Design, Site Management, Estimation, MS Project, RCC"
Medical Officer,Healthcare,"Patient Care, Clinical Diagnosis, OPD, Emergency Medicine, MBBS, Prescription"
Steel Plant Operator,Steel & Metals,"Blast Furnace, Rolling Mill, Metallurgy, Quality Testing, Safety, ERP"
Sales Executive,FMCG,"B2B Sales, Target Achievement, CRM, Negotiation, Market Coverage, Communication"
HR Manager,Corporate,"Recruitment, Payroll, HRMS, Labour Law, Performance Management, Onboarding"
Accountant,Finance,"Tally, GST, TDS, Accounts Payable, Balance Sheet, MS Excel, Audit"
Electrical Engineer,Manufacturing,"PLC, SCADA, Switchgear, Panel Wiring, AutoCAD Electrical, Maintenance, Relay"
Backend Developer,IT,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Git, Maven"
Mining Geologist,Mining,"Geological Mapping, Borehole Logging, GIS, ArcGIS, Rock Mechanics, Mineralogy"
Blast Furnace Technician,Steel & Metals,"Blast Furnace Operation, Tapping, Slag Management, Safety, Metallurgy, Shift Work"
Nurse,Healthcare,"Patient Monitoring, IV Administration, Wound Care, OT Assistance, BLS, EMR"
Software Tester,IT,"Manual Testing, Selenium, JIRA, Test Cases, Bug Reporting, Postman, Agile"
Production Supervisor,Manufacturing,"Line Management, 5S, Kaizen, OEE, Shift Scheduling, Safety, Lean Manufacturing"
Financial Analyst,Finance,"Financial Modeling, Excel, Forecasting, Budgeting, Variance Analysis, MIS, SAP"
Lab Technician,Healthcare,"Sample Collection, Blood Analysis, PCR, ELISA, Lab Safety, Microscopy, LIMS"
AutoCAD Draftsman,Construction,"AutoCAD, 2D Drawing, 3D Modeling, Blueprint Reading, Civil Drafting, Detailing"
Network Engineer,IT,"Cisco, Router Configuration, CCNA, Firewall, VPN, LAN/WAN, Network Monitoring"
Coal Mine Surveyor,Mining,"Total Station, Theodolite, Mine Surveying, GPS, DGMS Compliance, Levelling"
Logistics Manager,Supply Chain,"Warehouse Management, SAP, ERP, Fleet Management, Supply Chain, Dispatch Planning"
Radiologist,Healthcare,"X-Ray, CT Scan, MRI, Ultrasound, DICOM, Radiology Report, Patient Safety"
Android Developer,IT,"Android Studio, Kotlin, Java, REST API, Firebase, Git, Play Store Deployment"
Steel Melting Shop Operator,Steel & Metals,"Electric Arc Furnace, Ladle Refining, Continuous Casting, Metallurgy, Safety"
Bank Clerk,Banking & Finance,"Data Entry, Cash Handling, KYC, MS Office, Tally, Customer Service, Core Banking"
Primary School Teacher,Education,"Lesson Planning, Classroom Management, Child Psychology, English, Hindi, EVS"
Environmental Engineer,Mining,"EIA, Environmental Compliance, Pollution Control, PCB, Waste Management, GIS"
Instrumentation Engineer,Manufacturing,"PLC, DCS, SCADA, Calibration, Pressure Transmitter, Field Instruments, Loop Tuning"
Cybersecurity Analyst,IT,"Ethical Hacking, SIEM, Firewalls, Penetration Testing, SOC, Vulnerability Assessment"
Pharmacist,Healthcare,"Drug Dispensing, Pharmacology, Inventory, Prescription Review, Patient Counselling"
SAP Consultant,IT,"SAP MM, SAP SD, SAP FICO, ABAP, ERP Implementation, Business Analysis, S/4HANA"
Blast Operator,Mining,"Blasting, Explosives Handling, DGMS License, Safety, Delay Detonators, Drilling"
Marketing Manager,FMCG,"Brand Management, Digital Marketing, BTL, Market Research, Campaign Planning, ATL"
Radiographer,Healthcare,"X-Ray Operation, Darkroom Techniques, Patient Positioning, Radiation Safety, AERB"
Plant Maintenance Engineer,Manufacturing,"Preventive Maintenance, Hydraulics, Pneumatics, Breakdown Analysis, SAP PM, Welding"
IT Support Engineer,IT,"Windows Server, Active Directory, Hardware Troubleshooting, Help Desk, Office 365"
Welder,Manufacturing,"MIG Welding, TIG Welding, Arc Welding, Blueprint Reading, Safety, Fabrication"
Assistant Professor,Education,"Teaching, Research, MS Word, Syllabus Design, Grading, Academic Writing, Seminars"
Coal Handling Plant Operator,Power & Energy,"Coal Handling, Belt Conveyor, Crusher, Dust Suppression, Safety, DCS"
Business Development Executive,Corporate,"Lead Generation, CRM, Cold Calling, Proposal Writing, Client Management, B2B"
Pharmacovigilance Associate,Healthcare,"Adverse Event Reporting, ICSR, MedDRA, VigiBase, Regulatory Affairs, Drug Safety"
Store Keeper,Supply Chain,"Inventory Management, ERP, GRN, Stock Audit, MS Excel, Material Handling, SAP"
Data Entry Operator,Corporate,"MS Excel, Typing Speed, Accuracy, Data Verification, MS Office, Computer Skills"
Electrician,Construction,"Wiring, Panel Board, MCB, Earthing, Electrical Safety, Single Phase, Three Phase"
Telecaller,BPO & Telecom,"Outbound Calling, CRM, Lead Generation, Communication, English, Hindi, Target"
Mine Safety Officer,Mining,"DGMS, Safety Audit, Accident Investigation, First Aid, Safety Training, Compliance"
Geotechnical Engineer,Construction,"Soil Testing, Bore Log, Foundation Design, Rock Classification, Slope Stability"
