id,title,provider,duration,level,image,rating,students,field,skills,link
1,Python for Data Science,Coursera,40 hrs,Beginner,https://images.unsplash.com/photo-1515879218367-8466d910aaa4,4.8,125K,BCA,"Python, SQL, Data Analysis",https://www.coursera.org/learn/python-for-applied-data-science-ai
2,Advanced React Patterns,Udemy,25 hrs,Advanced,https://images.unsplash.com/photo-1633356122544-f134324a6cee,4.9,80K,B.Tech,"React, JavaScript, Frontend",https://www.udemy.com/course/advanced-react-patterns/
3,Java Spring Boot Masterclass,Pluralsight,60 hrs,Intermediate,https://images.unsplash.com/photo-1558494949-ef010cbdcc31,4.7,95K,MCA,"Java, Spring Boot, Backend",https://www.pluralsight.com/courses/spring-boot-masterclass
4,Machine Learning A-Z,Udemy,55 hrs,Intermediate,https://images.unsplash.com/photo-1677442135703-1787eea5ce01,4.8,310K,B.Tech,"Machine Learning, Python, AI",https://www.udemy.com/course/machinelearning/
5,SQL for Database Analytics,Coursera,20 hrs,Beginner,https://images.unsplash.com/photo-1544383835-bda2bc66a55d,4.6,200K,BCA,"SQL, MySQL, Databases",https://www.coursera.org/learn/sql-for-data-science
6,Full-Stack Node.js Mastery,Udemy,45 hrs,Intermediate,https://images.unsplash.com/photo-1555066931-4365d14bab8c,4.7,110K,MCA,"Node.js, Express, MongoDB",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/
7,Cloud Practitioner Essentials,AWS Training,15 hrs,Beginner,https://images.unsplash.com/photo-1451187580459-43490279c0fa,4.9,300K,B.Tech,"AWS, Cloud, DevOps",
8,System Design Fundamentals,Coursera,35 hrs,Advanced,https://images.unsplash.com/photo-1518770660439-4636190af475,4.9,180K,B.Tech,"System Design, Scalability, Architecture",
9,Django REST Framework Guide,Pluralsight,30 hrs,Intermediate,https://images.unsplash.com/photo-1517048676732-d65bc937f952,4.6,95K,MCA,"Django, Python, API",
10,UI/UX Design Essentials,Coursera,28 hrs,Beginner,https://images.unsplash.com/photo-1561070791-2526d30994b5,4.8,150K,BCA,"Figma, UI/UX, Design",
7,IBM Data Science Professional Certificate,Coursera,5 Months,Beginner,https://images.unsplash.com/photo-1551288049-bebda4e38f71,4.8,1.2M,"BCA, B.Tech","Data Science, Python, SQL, Machine Learning",https://www.coursera.org/professional-certificates/ibm-data-science
8,Meta Front-End Developer Professional Certificate,Coursera,7 Months,Beginner,https://images.unsplash.com/photo-1467232004584-a241de8bcf5d,4.7,200K,"BCA, B.Tech","React, JavaScript, HTML, CSS, UI/UX",https://www.coursera.org/professional-certificates/meta-front-end-developer
9,Google Data Analytics Professional Certificate,Coursera,6 Months,Beginner,https://images.unsplash.com/photo-1543286386-713bdd548da4,4.8,1.5M,BCA,"Data Analytics, SQL, Tableau, R, Python",https://www.coursera.org/professional-certificates/google-data-analytics
10,Machine Learning Specialization,Coursera,3 Months,Beginner,https://images.unsplash.com/photo-1677442135703-1787eea5ce01,4.9,500K,"B.Tech, MCA","Machine Learning, Python, Neural Networks, Supervised Learning",https://www.coursera.org/specializations/machine-learning-introduction
11,AWS Cloud Practitioner Essentials,Coursera,35 hrs,Beginner,https://images.unsplash.com/photo-1451187580459-43490279c0fa,4.8,300K,"B.Tech, MCA, BCA","Cloud Computing, AWS, Infrastructure, Security",https://www.coursera.org/learn/aws-cloud-practitioner-clf-c02
12,Python for Everybody Specialization,Coursera,8 Months,Beginner,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5,4.8,1M,BCA,"Python, Databases, Web Data, Data Structures",https://www.coursera.org/specializations/python
13,Java Programming and Software Engineering Fundamentals,Coursera,6 Months,Beginner,https://images.unsplash.com/photo-1517694712202-14dd9538aa97,4.6,300K,"B.Tech, MCA","Java, Programming, Software Engineering, Algorithms",https://www.coursera.org/specializations/java-programming
14,Google IT Support Professional Certificate,Coursera,6 Months,Beginner,https://images.unsplash.com/photo-1515378791036-0648a3ef77b2,4.8,2M,BCA,"IT Support, Networking, OS, System Administration",https://www.coursera.org/professional-certificates/google-it-support
15,Deep Learning Specialization,Coursera,5 Months,Intermediate,https://images.unsplash.com/photo-1509228627152-72ae9ae6848d,4.9,800K,"B.Tech, MCA","Deep Learning, Neural Networks, CNN, RNN, TensorFlow",https://www.coursera.org/specializations/deep-learning
16,Meta Back-End Developer Professional Certificate,Coursera,8 Months,Beginner,https://images.unsplash.com/photo-1555066931-4365d14bab8c,4.7,150K,"B.Tech, BCA","Python, Django, Databases, API, Software Engineering",https://www.coursera.org/professional-certificates/meta-back-end-developer
